Nr;Afd.;Aanvang;Thuis;Uit;Zwembad
10557;D1.H4A;30-09-2012 20:15;Ritola Z & PC 3;Eemsrobben 3;Aqualaren (Zuidlaren );H.G. Bekkers 
10561;D1.H4A;07-10-2012 18:00;Bubble 2;Ritola Z & PC 3;Tropiqua zwemparadijs (Veendam );
10567;D1.H4A;14-10-2012 20:00;Ritola Z & PC 3;ZPC bikkel Hoogeveen 1;Aqualaren (Zuidlaren );
10570;D1.H4A;27-10-2012 18:45;De Inktvis 2;Ritola Z & PC 3;Kalkwijck (Hoogezand );
10577;D1.H4A;04-11-2012 20:15;Ritola Z & PC 3;GZVW 3;Aqualaren (Zuidlaren );
10579;D1.H4A;10-11-2012 18:00;De Plons 3;Ritola Z & PC 3;de Swaneburg (Coevorden );
10585;D1.H4A;18-11-2012 18:30;Ritola Z & PC 3;ZEPTA 2;Aqualaren (Zuidlaren );
10592;D1.H4A;25-11-2012 15:30;SG Najade - ZZG 2;Ritola Z & PC 3;De Smelte (Smilde );
10599;D1.H4A;19-01-2013 20:15;Moby Dick 2;Ritola Z & PC 3;de Swaneburg (Coevorden );
10604;D1.H4A;26-01-2013 19:00;Aqua`68 2;Ritola Z & PC 3;De Bonte Wever - Assen (Assen );
10612;D1.H4A;03-02-2013 19:15;Eemsrobben 3;Ritola Z & PC 3;Dubbelslag (Delfzijl );
10617;D1.H4A;17-02-2013 19:30;Ritola Z & PC 3;Bubble 2;Aqualaren (Zuidlaren );
10618;D1.H4A;23-02-2013 16:00;ZPC bikkel Hoogeveen 1;Ritola Z & PC 3;De Dolfijn (Hoogeveen );
10627;D1.H4A;03-03-2013 20:15;Ritola Z & PC 3;De Inktvis 2;Aqualaren (Zuidlaren );
10631;D1.H4A;10-03-2013 14:45;GZVW 3;Ritola Z & PC 3;De Watertoren (Winschoten );
10637;D1.H4A;17-03-2013 19:15;Ritola Z & PC 3;De Plons 3;Aqualaren (Zuidlaren );
10642;D1.H4A;24-03-2013 16:15;ZEPTA 2;Ritola Z & PC 3;De Watertoren (Winschoten );
10646;D1.H4A;07-04-2013 18:30;Ritola Z & PC 3;SG Najade - ZZG 2;Aqualaren (Zuidlaren );
10656;D1.H4A;21-04-2013 18:30;Ritola Z & PC 3;Moby Dick 2;Aqualaren (Zuidlaren );
10662;D1.H4A;28-04-2013 20:15;Ritola Z & PC 3;Aqua`68 2;Aqualaren (Zuidlaren );
