Nr;Afd.;Aanvang;Thuis;Uit;Zwembad
2232;B.RH2C;29-09-2012 21:15;TriVia 2;Ritola Z & PC 2;De Parrel (Groningen );
2238;B.RH2C;07-10-2012 18:30;Ritola Z & PC 2;De Mors 3;Aqualaren (Zuidlaren );
2248;B.RH2C;28-10-2012 18:30;Ritola Z & PC 2;Schuurman BZC 3;Aqualaren (Zuidlaren );
2252;B.RH2C;03-11-2012 21:00;MZ&PC De Reest 2;Ritola Z & PC 2;Bad Hesselingen (Meppel );
2258;B.RH2C;11-11-2012 18:30;Ritola Z & PC 2;WSG DraGor 2;Aqualaren (Zuidlaren );
2262;B.RH2C;17-11-2012 19:30;Neptunia`24 2;Ritola Z & PC 2;It Rak (Sneek );
2267;B.RH2C;25-11-2012 19:30;Ritola Z & PC 2;Eemsrobben 2;Aqualaren (Zuidlaren );
2270;B.RH2C;08-12-2012 21:30;SGHA 2;Ritola Z & PC 2;Sportstad Heerenveen (Heerenveen );
2274;B.RH2C;22-12-2012 17:45;De Mors 3;Ritola Z & PC 2;De Koerbelt (Rijssen );
2282;B.RH2C;20-01-2013 20:15;Ritola Z & PC 2;De Walvisch 2;Aqualaren (Zuidlaren );
2287;B.RH2C;26-01-2013 21:30;SGHA 3;Ritola Z & PC 2;Sportstad Heerenveen (Heerenveen );
2291;B.RH2C;03-02-2013 21:00;Ritola Z & PC 2;TriVia 2;Aqualaren (Zuidlaren );
2303;B.RH2C;02-03-2013 17:40;Schuurman BZC 3;Ritola Z & PC 2;`t Spilbroek (Neede );
2309;B.RH2C;10-03-2013 21:00;Ritola Z & PC 2;MZ&PC De Reest 2;Aqualaren (Zuidlaren );
2310;B.RH2C;16-03-2013 18:15;WSG DraGor 2;Ritola Z & PC 2;De Welle (Drachten );
2319;B.RH2C;24-03-2013 20:15;Ritola Z & PC 2;Neptunia`24 2;Aqualaren (Zuidlaren );
2325;B.RH2C;07-04-2013 16:45;Eemsrobben 2;Ritola Z & PC 2;Dubbelslag (Delfzijl );
2330;B.RH2C;14-04-2013 18:30;Ritola Z & PC 2;SGHA 2;Aqualaren (Zuidlaren );
2331;B.RH2C;20-04-2013 19:15;De Walvisch 2;Ritola Z & PC 2;De Parrel (Groningen );
2339;B.RH2C;28-04-2013 18:30;Ritola Z & PC 2;SGHA 3;Aqualaren (Zuidlaren );
